Me identifico;Tengo;Años de experiencia;Años en la empresa actual;Años en el puesto actual;¿Gente a cargo?;Nivel de estudios alcanzado;Estado;¿Contribuís a proyectos open source?;¿Programás como hobbie?;Lenguajes de programación;Bases de datos;¿Qué SO usás en tu laptop/PC para trabajar?;¿Y en tu celular?;Tipo de contrato;Salario mensual BRUTO (en tu moneda local);Salario mensual NETO (en tu moneda local);¿Qué tan conforme estás con tu sueldo?;Cómo creés que está tu sueldo con respecto al último semestre;Orientación sexual;Cantidad de empleados;¿La recomendás como un buen lugar para trabajar?;¿Cómo calificás las políticas de diversidad e inclusión?;¿A cuántos kilómetros de tu casa queda la oficina?
Otros;17;0;0;0;0;Primario;Incompleto;No;Sí;;MongoDB;Mac OS X;iOS;Tercerizado (trabajo a través de consultora o agencia);1;1;1;1;;101-200;1;1;-1
Hombre;36;16;10;4;3;Universitario;Completado;Sí;Sí;.NET, C, C++, C#, CSS, HTML, Javascript, PHP, Python, R, SQL, TypeScript, VBA;IBM Db2, MSSQL, MongoDB, MySQL, Redis, SQLite;Windows;Android;Full-Time;40000;37000;2;1;;1-10;5;5;10
Hombre;45;17;1;1;0;Universitario;Incompleto;No;Sí;Java, Javascript, TypeScript;Amazon DynamoDB, Apache HBase, MySQL;Linux;Android;Full-Time;67000;50000;1;1;;101-200;1;5;2
Hombre;37;12;6;6;0;Universitario;Completado;No;Sí;CSS, HTML, Javascript, PHP;Informix, MSSQL, MySQL;Windows;Android;Full-Time;50000;40000;1;1;;501-1000;4;1;3
Hombre;33;12;6;2;0;Universitario;Completado;No;Sí;HTML, Javascript, PHP;PostgreSQL;Linux;Android;Full-Time;67700;53000;3;2;;101-200;9;9;9
Hombre;23;4;2;2;0;Secundario;En curso;No;Sí;CSS, HTML, SQL;MariaDB, MSSQL, MySQL, Oracle, PostgreSQL;Windows;Android;Full-Time;27000;20500;2;2;;1-10;4;4;4
Hombre;33;13;0;0;0;Universitario;Incompleto;Sí;Sí;Bash/Shell, CSS, Go, HTML, Javascript, Python, SQL;ElasticSearch, MySQL, SQLite;Linux;Android;Full-Time;147150;99839;4;3;;2001-5000;8;6;6
Hombre;40;15;1;1;0;Posgrado;Incompleto;No;No;HTML, Java, Javascript;MSSQL, MySQL, Oracle;Mac OS X;Android;Full-Time;100000;68000;3;3;;201-500;10;10;2
Hombre;24;2;1;1;0;Terciario;En curso;No;No;;;Windows;Android;Tercerizado (trabajo a través de consultora o agencia);21000;19000;2;1;;1001-2000;1;1;5
Hombre;37;20;1;1;0;Universitario;Incompleto;No;Sí;Bash/Shell, CSS, HTML, Java, Javascript, PHP, Python, SQL;Amazon RDS/Aurora, ElasticSearch, MariaDB, MongoDB, MySQL, PostgreSQL;Linux;Android;Full-Time;54000;54000;1;2;;501-1000;8;8;50
Hombre;29;9;0;3;0;Universitario;Completado;Sí;Sí;CSS, Go, HTML, Javascript, SQL, TypeScript;MariaDB, MongoDB, MySQL, PostgreSQL;Mac OS X;Android;Full-Time;123000;90000;3;4;;201-500;10;10;20
Hombre;28;10;1;1;3;Universitario;Incompleto;No;Sí;CSS, HTML, Javascript;;Mac OS X;Android;Full-Time;83000;60000;3;2;;2001-5000;10;10;25
Hombre;29;8;1;1;0;Universitario;Completado;Sí;Sí;Go, Groovy, Java, Python, Scala;PostgreSQL;Mac OS X;Android;Full-Time;135184;81501;4;4;;101-200;8;8;116
Hombre;35;16;2;2;11;Universitario;Completado;Sí;Sí;HTML, Javascript, SQL;ElasticSearch, PostgreSQL;Mac OS X;Android;Full-Time;165000;101000;4;4;;11-50;10;8;4
Hombre;32;8;0;1;0;Terciario;Incompleto;No;No;;ElasticSearch;Windows;Android;Tercerizado (trabajo a través de consultora o agencia);54000;43150;2;2;;501-1000;6;5;3
Hombre;29;8;1;1;2;Universitario;Incompleto;No;Sí;Javascript, Ruby;ElasticSearch, MySQL;Mac OS X;iOS;Remoto (empresa de otro país);332200;225500;4;4;;1-10;10;3;-1
Hombre;29;8;1;5;0;Universitario;Incompleto;Sí;Sí;Bash/Shell, CSS, HTML, Javascript;Amazon DynamoDB, MongoDB, Redis, Scylla;Mac OS X;iOS;Remoto (empresa de otro país);330000;330000;4;4;;11-50;9;5;-1
Hombre;28;10;0;0;0;Universitario;Incompleto;No;Sí;Javascript, TypeScript;MongoDB;Mac OS X;Android;Remoto (empresa de otro país);216000;;4;4;;101-200;7;4;-1
Hombre;41;10;6;6;0;Universitario;Incompleto;No;No;Ruby;IBM Db2, MySQL;Windows;Android;Full-Time;66000;49500;3;2;;101-200;6;8;-1
Hombre;27;2;0;0;0;Terciario;En curso;No;Sí;Python;MySQL, PostgreSQL, Redis, SQLite;Linux;Android;Freelance;37600;37600;3;3;;1-10;8;5;-1
Hombre;26;6;3;2;0;Universitario;En curso;No;No;Java;Cassandra, PostgreSQL;Mac OS X;Android;Full-Time;110000;750000;4;4;;201-500;10;10;1
Hombre;28;6;0;0;0;Universitario;En curso;No;Sí;Javascript;Amazon DynamoDB, MongoDB, MySQL, Redis;Mac OS X;Android;Remoto (empresa de otro país);88900;82000;4;4;;1-10;10;10;-1
Hombre;34;14;4;4;0;Terciario;Completado;No;No;Bash/Shell;;Linux;Android;Full-Time;42000;35400;2;2;;1-10;5;10;1
Mujer;41;8;2;2;0;Universitario;Completado;No;Sí;Java, Kotlin;;Windows;Android;Full-Time;61500;;3;3;;101-200;8;8;25
Hombre;25;5;16;6;0;Universitario;En curso;No;Sí;Java, Javascript;Amazon DynamoDB, Cassandra, ElasticSearch, MariaDB, MongoDB, MySQL, PostgreSQL, Redis, SQLite;Mac OS X;iOS;Full-Time;90000;60000;3;3;;101-200;7;8;2
Hombre;29;3;0;0;0;Universitario;Incompleto;No;No;SQL;Oracle, Teradata;Windows;Android;Full-Time;60000;50000;3;3;;101-200;7;7;3
Hombre;40;14;4;1;0;Universitario;Incompleto;No;Sí;CSS, HTML, Javascript, PHP, Ruby, SQL, TypeScript;MariaDB, MongoDB, MySQL, PostgreSQL;Windows;Android;Full-Time;95000;65000;3;3;;5001-10000;9;8;25
Hombre;41;4;3;3;18;Universitario;Incompleto;No;No;;;Mac OS X;Android;Full-Time;53000;42000;2;3;Heterosexual;5001-10000;7;7;10
Hombre;24;1;1;1;0;Universitario;En curso;No;No;CSS, HTML, Java, Javascript, SQL, TypeScript;ElasticSearch, MongoDB, MySQL;Windows;Android;Full-Time;31108;25820;3;3;Heterosexual;1-10;9;8;5
Hombre;31;10;0;0;0;Terciario;Incompleto;Sí;Sí;Python;;Mac OS X;Android;Full-Time;95000;65000;3;3;Bisexual o queer;101-200;9;6;15
Hombre;28;10;0;0;0;Universitario;Incompleto;Sí;Sí;Bash/Shell, Python;Amazon DynamoDB, Amazon RDS/Aurora, Cassandra, ElasticSearch, MariaDB, MongoDB, MySQL, PostgreSQL;Mac OS X;iOS;Full-Time;105000;80000;3;3;Heterosexual;201-500;9;9;1
Hombre;24;3;1;2;0;Secundario;Completado;No;Sí;;Amazon RDS/Aurora, ElasticSearch, MySQL, PostgreSQL, Redis;Mac OS X;iOS;Full-Time;115000;70000;3;2;Heterosexual;101-200;8;9;1
Mujer;29;1;0;0;0;Universitario;En curso;No;Sí;Go, Groovy, Java, SQL;Amazon Redshift, MySQL, Oracle, PostgreSQL;Linux;Android;Full-Time;46000;39000;3;3;Heterosexual;11-50;9;9;3
Hombre;27;3;2;2;0;Secundario;Completado;No;No;;;Windows;Android;Full-Time;25000;20000;3;2;Heterosexual;201-500;7;8;30
Hombre;29;5;2;2;0;Secundario;Completado;No;No;;;Mac OS X;Android;Full-Time;158000;121000;4;4;;201-500;6;7;1
